occupation,year,men,women,diff,FirstYear,shorthand,firstyeardif
Accountants and auditors,2015,1345,988,357,2015,Accountants And Auditors,0
Accountants and auditors,2016,1441,1018,423,2015,Accountants And Auditors,66
Accountants and auditors,2017,1389,1065,324,2015,Accountants And Auditors,-33
Accountants and auditors,2018,1404,1108,296,2015,Accountants And Auditors,-61
Accountants and auditors,2019,1419,1141,278,2015,Accountants And Auditors,-79
Accountants and auditors,2020,1520,1186,334,2015,Accountants And Auditors,-23
Accountants and auditors,2021,1494,1261,233,2015,Accountants And Auditors,402
Architecture and engineering occupations,2015,1452,1257,195,2015,Architecture And Engineering ,0
Architecture and engineering occupations,2016,1529,1207,322,2015,Architecture And Engineering ,127
Architecture and engineering occupations,2017,1518,1307,211,2015,Architecture And Engineering ,16
Architecture and engineering occupations,2018,1528,1259,269,2015,Architecture And Engineering ,74
Architecture and engineering occupations,2019,1589,1339,250,2015,Architecture And Engineering ,55
Architecture and engineering occupations,2020,1626,1382,244,2015,Architecture And Engineering ,49
Architecture and engineering occupations,2021,1725,1435,290,2015,Architecture And Engineering ,232
"Arts, design, entertainment, sports, and media occupations",2015,1088,942,146,2015,"Arts, Design, Entertainment, Sports",0
"Arts, design, entertainment, sports, and media occupations",2016,1139,951,188,2015,"Arts, Design, Entertainment, Sports",42
"Arts, design, entertainment, sports, and media occupations",2017,1161,943,218,2015,"Arts, Design, Entertainment, Sports",72
"Arts, design, entertainment, sports, and media occupations",2018,1151,997,154,2015,"Arts, Design, Entertainment, Sports",8
"Arts, design, entertainment, sports, and media occupations",2019,1231,1077,154,2015,"Arts, Design, Entertainment, Sports",8
"Arts, design, entertainment, sports, and media occupations",2020,1252,1128,124,2015,"Arts, Design, Entertainment, Sports",-22
"Arts, design, entertainment, sports, and media occupations",2021,1317,1145,172,2015,"Arts, Design, Entertainment, Sports",-18
"Bookkeeping, accounting, and auditing clerks",2015,690,692,2,2015,Bookkeeping And Accounting,0
"Bookkeeping, accounting, and auditing clerks",2016,790,716,74,2015,Bookkeeping And Accounting,72
"Bookkeeping, accounting, and auditing clerks",2017,743,716,27,2015,Bookkeeping And Accounting,25
"Bookkeeping, accounting, and auditing clerks",2018,778,739,39,2015,Bookkeeping And Accounting,37
"Bookkeeping, accounting, and auditing clerks",2019,784,764,20,2015,Bookkeeping And Accounting,18
"Bookkeeping, accounting, and auditing clerks",2020,1101,809,292,2015,Bookkeeping And Accounting,290
"Bookkeeping, accounting, and auditing clerks",2021,1009,802,207,2015,Bookkeeping And Accounting,386
Building and grounds cleaning and maintenance occupations,2015,517,419,98,2015,Building  And Maintenance ,0
Building and grounds cleaning and maintenance occupations,2016,548,454,94,2015,Building  And Maintenance ,-4
Building and grounds cleaning and maintenance occupations,2017,573,463,110,2015,Building  And Maintenance ,12
Building and grounds cleaning and maintenance occupations,2018,604,477,127,2015,Building  And Maintenance ,29
Building and grounds cleaning and maintenance occupations,2019,618,502,116,2015,Building  And Maintenance ,18
Building and grounds cleaning and maintenance occupations,2020,651,511,140,2015,Building  And Maintenance ,42
Building and grounds cleaning and maintenance occupations,2021,685,555,130,2015,Building  And Maintenance ,159
Business and financial operations occupations,2015,1327,1004,323,2015,Business And Financial Operations,0
Business and financial operations occupations,2016,1373,1018,355,2015,Business And Financial Operations,32
Business and financial operations occupations,2017,1390,1055,335,2015,Business And Financial Operations,12
Business and financial operations occupations,2018,1383,1105,278,2015,Business And Financial Operations,-45
Business and financial operations occupations,2019,1468,1148,320,2015,Business And Financial Operations,-3
Business and financial operations occupations,2021,1552,1253,299,2015,Business And Financial Operations,-27
Cashiers,2015,471,405,66,2015,Cashiers,0
Cashiers,2016,475,403,72,2015,Cashiers,6
Cashiers,2017,493,422,71,2015,Cashiers,5
Cashiers,2018,468,463,5,2015,Cashiers,-61
Cashiers,2019,510,499,11,2015,Cashiers,-55
Cashiers,2020,524,501,23,2015,Cashiers,-43
Cashiers,2021,520,513,7,2015,Cashiers,-184
Chief executives,2015,2251,1836,415,2015,Chief Executives,0
Chief executives,2016,2419,1876,543,2015,Chief Executives,128
Chief executives,2017,2415,1920,495,2015,Chief Executives,80
Chief executives,2018,2488,1736,752,2015,Chief Executives,337
Chief executives,2019,2509,2019,490,2015,Chief Executives,75
Chief executives,2021,2721,1904,817,2015,Chief Executives,265
Community and social service occupations,2015,973,845,128,2015,Community And Social Service,0
Community and social service occupations,2016,1004,880,124,2015,Community And Social Service,-4
Community and social service occupations,2017,976,857,119,2015,Community And Social Service,-9
Community and social service occupations,2018,984,886,98,2015,Community And Social Service,-30
Community and social service occupations,2019,1064,941,123,2015,Community And Social Service,-5
Community and social service occupations,2020,1103,976,127,2015,Community And Social Service,-1
Community and social service occupations,2021,1164,1016,148,2015,Community And Social Service,-89
Computer and information systems managers,2015,1817,1563,254,2015,Information Systems Managers,0
Computer and information systems managers,2016,1756,1680,76,2015,Information Systems Managers,-178
Computer and information systems managers,2017,1897,1629,268,2015,Information Systems Managers,14
Computer and information systems managers,2018,1920,1727,193,2015,Information Systems Managers,-61
Computer and information systems managers,2019,2019,1892,127,2015,Information Systems Managers,-127
Computer and information systems managers,2020,2091,1910,181,2015,Information Systems Managers,-73
Computer and information systems managers,2021,2135,1908,227,2015,Information Systems Managers,181
Computer and mathematical occupations,2015,1503,1245,258,2015,"Computer, Mathematical Occupations",0
Computer and mathematical occupations,2016,1518,1325,193,2015,"Computer, Mathematical Occupations",-65
Computer and mathematical occupations,2017,1552,1235,317,2015,"Computer, Mathematical Occupations",59
Computer and mathematical occupations,2018,1604,1345,259,2015,"Computer, Mathematical Occupations",1
Computer and mathematical occupations,2019,1658,1353,305,2015,"Computer, Mathematical Occupations",47
Computer and mathematical occupations,2020,1738,1423,315,2015,"Computer, Mathematical Occupations",57
Computer and mathematical occupations,2021,1742,1499,243,2015,"Computer, Mathematical Occupations",113
"Computer occupations, all other",2015,1252,1145,107,2015,Other Computer Occupations,0
"Computer occupations, all other",2016,1244,1055,189,2015,Other Computer Occupations,82
"Computer occupations, all other",2017,1250,1059,191,2015,Other Computer Occupations,84
"Computer occupations, all other",2018,1238,1208,30,2015,Other Computer Occupations,-77
"Computer occupations, all other",2019,1365,1148,217,2015,Other Computer Occupations,110
"Computer occupations, all other",2020,1456,1161,295,2015,Other Computer Occupations,188
"Computer occupations, all other",2021,1483,1143,340,2015,Other Computer Occupations,144
Construction and extraction occupations,2015,751,704,47,2015,"Construction, Extraction Occupations",0
Construction and extraction occupations,2016,786,639,147,2015,"Construction, Extraction Occupations",100
Construction and extraction occupations,2017,796,802,6,2015,"Construction, Extraction Occupations",-41
Construction and extraction occupations,2018,809,785,24,2015,"Construction, Extraction Occupations",-23
Construction and extraction occupations,2019,873,711,162,2015,"Construction, Extraction Occupations",115
Construction and extraction occupations,2020,910,796,114,2015,"Construction, Extraction Occupations",67
Construction and extraction occupations,2021,908,720,188,2015,"Construction, Extraction Occupations",39
Cooks,2015,427,400,27,2015,Chefs,0
Cooks,2016,459,421,38,2015,Chefs,11
Cooks,2017,481,436,45,2015,Chefs,18
Cooks,2018,518,437,81,2015,Chefs,54
Cooks,2019,535,489,46,2015,Chefs,19
Cooks,2020,512,505,7,2015,Chefs,-20
Cooks,2021,572,512,60,2015,Chefs,-15
Counselors,2015,908,902,6,2015,Counselors,0
Counselors,2016,892,907,15,2015,Counselors,9
Counselors,2017,901,894,7,2015,Counselors,1
Counselors,2018,1004,913,91,2015,Counselors,85
Counselors,2019,944,1003,59,2015,Counselors,53
Counselors,2021,1083,860,223,2015,Counselors,95
Customer service representatives,2015,690,604,86,2015,Customer Service Representatives,0
Customer service representatives,2016,676,623,53,2015,Customer Service Representatives,-33
Customer service representatives,2017,712,637,75,2015,Customer Service Representatives,-11
Customer service representatives,2018,689,680,9,2015,Customer Service Representatives,-77
Customer service representatives,2019,736,673,63,2015,Customer Service Representatives,-23
Customer service representatives,2020,771,698,73,2015,Customer Service Representatives,-13
Customer service representatives,2021,867,737,130,2015,Customer Service Representatives,-137
Designers,2015,1099,918,181,2015,Designers,0
Designers,2016,1267,922,345,2015,Designers,164
Designers,2017,1172,857,315,2015,Designers,134
Designers,2018,1169,932,237,2015,Designers,56
Designers,2019,1214,1052,162,2015,Designers,-19
Designers,2020,1234,1107,127,2015,Designers,-54
Designers,2021,1429,1271,158,2015,Designers,-91
Driver/sales workers and truck drivers,2015,751,632,119,2015,"Driver/Sales Workers, Truck Drivers",0
Driver/sales workers and truck drivers,2016,787,630,157,2015,"Driver/Sales Workers, Truck Drivers",38
Driver/sales workers and truck drivers,2017,807,589,218,2015,"Driver/Sales Workers, Truck Drivers",99
Driver/sales workers and truck drivers,2018,829,559,270,2015,"Driver/Sales Workers, Truck Drivers",151
Driver/sales workers and truck drivers,2019,861,660,201,2015,"Driver/Sales Workers, Truck Drivers",82
Driver/sales workers and truck drivers,2020,916,666,250,2015,"Driver/Sales Workers, Truck Drivers",131
Driver/sales workers and truck drivers,2021,933,732,201,2015,"Driver/Sales Workers, Truck Drivers",-24
Education administrators,2015,1585,1252,333,2015,Education Administrators,0
Education administrators,2016,1528,1280,248,2015,Education Administrators,-85
Education administrators,2017,1561,1243,318,2015,Education Administrators,-15
Education administrators,2018,1563,1245,318,2015,Education Administrators,-15
Education administrators,2019,1467,1335,132,2015,Education Administrators,-201
Education administrators,2020,1590,1400,190,2015,Education Administrators,-143
Education administrators,2021,1857,1411,446,2015,Education Administrators,-82
"Education, training, and library occupations",2015,1144,907,237,2015,"Education, Training, And Library ",0
"Education, training, and library occupations",2016,1154,933,221,2015,"Education, Training, And Library ",-16
"Education, training, and library occupations",2017,1202,935,267,2015,"Education, Training, And Library ",30
"Education, training, and library occupations",2018,1235,934,301,2015,"Education, Training, And Library ",64
"Education, training, and library occupations",2019,1265,987,278,2015,"Education, Training, And Library ",41
"Education, training, and library occupations",2020,1327,1026,301,2015,"Education, Training, And Library ",64
"Education, training, and library occupations",2021,1332,1071,261,2015,"Education, Training, And Library ",17
Elementary and middle school teachers,2015,1077,957,120,2015,"Elementary, Middle School Teachers",0
Elementary and middle school teachers,2016,1126,981,145,2015,"Elementary, Middle School Teachers",25
Elementary and middle school teachers,2017,1139,987,152,2015,"Elementary, Middle School Teachers",32
Elementary and middle school teachers,2018,1148,982,166,2015,"Elementary, Middle School Teachers",46
Elementary and middle school teachers,2019,1161,1042,119,2015,"Elementary, Middle School Teachers",-1
Elementary and middle school teachers,2020,1258,1085,173,2015,"Elementary, Middle School Teachers",53
Elementary and middle school teachers,2021,1301,1138,163,2015,"Elementary, Middle School Teachers",-158
"Farming, fishing, and forestry occupations",2015,477,437,40,2015,"Farming, Fishing, And Forestry ",0
"Farming, fishing, and forestry occupations",2016,544,465,79,2015,"Farming, Fishing, And Forestry ",39
"Farming, fishing, and forestry occupations",2017,585,471,114,2015,"Farming, Fishing, And Forestry ",74
"Farming, fishing, and forestry occupations",2018,602,483,119,2015,"Farming, Fishing, And Forestry ",79
"Farming, fishing, and forestry occupations",2019,593,513,80,2015,"Farming, Fishing, And Forestry ",40
"Farming, fishing, and forestry occupations",2020,608,528,80,2015,"Farming, Fishing, And Forestry ",40
"Farming, fishing, and forestry occupations",2021,637,585,52,2015,"Farming, Fishing, And Forestry ",-124
Financial managers,2015,1732,1130,602,2015,Financial Managers,0
Financial managers,2016,1670,1157,513,2015,Financial Managers,-89
Financial managers,2017,1719,1222,497,2015,Financial Managers,-105
Financial managers,2018,1784,1262,522,2015,Financial Managers,-80
Financial managers,2019,1897,1207,690,2015,Financial Managers,88
Financial managers,2020,1880,1242,638,2015,Financial Managers,36
Financial managers,2021,1885,1372,513,2015,Financial Managers,233
First-line supervisors of non-retail sales workers,2015,1140,896,244,2015,Sales Worker Supervisor,0
First-line supervisors of non-retail sales workers,2016,1161,1004,157,2015,Sales Worker Supervisor,-87
First-line supervisors of non-retail sales workers,2017,1151,965,186,2015,Sales Worker Supervisor,-58
First-line supervisors of non-retail sales workers,2018,1199,1054,145,2015,Sales Worker Supervisor,-99
First-line supervisors of non-retail sales workers,2019,1157,1173,16,2015,Sales Worker Supervisor,-228
First-line supervisors of non-retail sales workers,2020,1338,1076,262,2015,Sales Worker Supervisor,18
First-line supervisors of non-retail sales workers,2021,1257,1130,127,2015,Sales Worker Supervisor,39
First-line supervisors of office and administrative support workers,2015,878,781,97,2015,Administrative Supporter Workers,0
First-line supervisors of office and administrative support workers,2016,942,809,133,2015,Administrative Supporter Workers,36
First-line supervisors of office and administrative support workers,2017,987,819,168,2015,Administrative Supporter Workers,71
First-line supervisors of office and administrative support workers,2018,1050,835,215,2015,Administrative Supporter Workers,118
First-line supervisors of office and administrative support workers,2019,971,816,155,2015,Administrative Supporter Workers,58
First-line supervisors of office and administrative support workers,2020,1145,925,220,2015,Administrative Supporter Workers,123
First-line supervisors of office and administrative support workers,2021,1184,913,271,2015,Administrative Supporter Workers,-23
First-line supervisors of production and operating workers,2015,924,623,301,2015,Production Supervisors,0
First-line supervisors of production and operating workers,2016,972,723,249,2015,Production Supervisors,-52
First-line supervisors of production and operating workers,2017,1007,716,291,2015,Production Supervisors,-10
First-line supervisors of production and operating workers,2018,1050,745,305,2015,Production Supervisors,4
First-line supervisors of production and operating workers,2019,1031,721,310,2015,Production Supervisors,9
First-line supervisors of production and operating workers,2020,1099,816,283,2015,Production Supervisors,-18
First-line supervisors of production and operating workers,2021,1138,796,342,2015,Production Supervisors,25
First-line supervisors of retail sales workers,2015,825,614,211,2015,Retail Sales Supervisors,0
First-line supervisors of retail sales workers,2016,857,630,227,2015,Retail Sales Supervisors,16
First-line supervisors of retail sales workers,2017,891,639,252,2015,Retail Sales Supervisors,41
First-line supervisors of retail sales workers,2018,911,672,239,2015,Retail Sales Supervisors,28
First-line supervisors of retail sales workers,2019,955,708,247,2015,Retail Sales Supervisors,36
First-line supervisors of retail sales workers,2020,981,733,248,2015,Retail Sales Supervisors,37
First-line supervisors of retail sales workers,2021,992,733,259,2015,Retail Sales Supervisors,50
Food preparation and serving related occupations,2015,481,414,67,2015,Food Preparation And Serving ,0
Food preparation and serving related occupations,2016,491,434,57,2015,Food Preparation And Serving ,-10
Food preparation and serving related occupations,2017,502,459,43,2015,Food Preparation And Serving ,-24
Food preparation and serving related occupations,2018,533,473,60,2015,Food Preparation And Serving ,-7
Food preparation and serving related occupations,2019,576,492,84,2015,Food Preparation And Serving ,17
Food preparation and serving related occupations,2020,570,506,64,2015,Food Preparation And Serving ,-3
Food preparation and serving related occupations,2021,598,534,64,2015,Food Preparation And Serving ,24
Food service managers,2015,820,680,140,2015,Food Service Managers,0
Food service managers,2016,853,632,221,2015,Food Service Managers,81
Food service managers,2017,894,674,220,2015,Food Service Managers,80
Food service managers,2018,922,708,214,2015,Food Service Managers,74
Food service managers,2019,964,719,245,2015,Food Service Managers,105
Food service managers,2020,1006,791,215,2015,Food Service Managers,75
Food service managers,2021,1014,789,225,2015,Food Service Managers,26
General and operations managers,2015,1347,1002,345,2015,General And Operations Managers,0
General and operations managers,2016,1358,1037,321,2015,General And Operations Managers,-24
General and operations managers,2017,1488,1134,354,2015,General And Operations Managers,9
General and operations managers,2018,1427,1139,288,2015,General And Operations Managers,-57
General and operations managers,2019,1476,1153,323,2015,General And Operations Managers,-22
General and operations managers,2021,1548,1285,263,2015,General And Operations Managers,43
Healthcare practitioners and technical occupations,2015,1272,991,281,2015,Healthcare Practitioners,0
Healthcare practitioners and technical occupations,2016,1332,1036,296,2015,Healthcare Practitioners,15
Healthcare practitioners and technical occupations,2017,1341,1068,273,2015,Healthcare Practitioners,-8
Healthcare practitioners and technical occupations,2018,1383,1078,305,2015,Healthcare Practitioners,24
Healthcare practitioners and technical occupations,2019,1422,1130,292,2015,Healthcare Practitioners,11
Healthcare practitioners and technical occupations,2020,1506,1153,353,2015,Healthcare Practitioners,72
Healthcare practitioners and technical occupations,2021,1516,1218,298,2015,Healthcare Practitioners,-33
Healthcare support occupations,2015,577,490,87,2015,Healthcare Support Occupations,0
Healthcare support occupations,2016,602,519,83,2015,Healthcare Support Occupations,-4
Healthcare support occupations,2017,597,533,64,2015,Healthcare Support Occupations,-23
Healthcare support occupations,2018,661,548,113,2015,Healthcare Support Occupations,26
Healthcare support occupations,2019,639,585,54,2015,Healthcare Support Occupations,-33
Healthcare support occupations,2020,640,600,40,2015,Healthcare Support Occupations,-47
Healthcare support occupations,2021,723,624,99,2015,Healthcare Support Occupations,-117
Human resources workers,2015,1158,984,174,2015,Human Resources Workers,0
Human resources workers,2016,1364,1089,275,2015,Human Resources Workers,101
Human resources workers,2017,1236,1035,201,2015,Human Resources Workers,27
Human resources workers,2019,1325,1149,176,2015,Human Resources Workers,2
Human resources workers,2020,1443,1174,269,2015,Human Resources Workers,95
Human resources workers,2021,1411,1212,199,2015,Human Resources Workers,37
"Inspectors, testers, sorters, samplers, and weighers",2015,844,583,261,2015,"Inspectors, Testers, Weighers",0
"Inspectors, testers, sorters, samplers, and weighers",2016,834,584,250,2015,"Inspectors, Testers, Weighers",-11
"Inspectors, testers, sorters, samplers, and weighers",2017,853,637,216,2015,"Inspectors, Testers, Weighers",-45
"Inspectors, testers, sorters, samplers, and weighers",2018,868,679,189,2015,"Inspectors, Testers, Weighers",-72
"Inspectors, testers, sorters, samplers, and weighers",2019,939,693,246,2015,"Inspectors, Testers, Weighers",-15
